candidate	claim_id	mechanistic_claim	evidence_level	direct_or_indirect	breast_cancer_specific	ER_positive_specific	tamoxifen_specific	endocrine_resistance_specific	experimental_perturbation	model_system	direction_of_effect	supports_project_hypothesis	contradicts_project_hypothesis	PMID	DOI	year	journal	paper_title	exact_evidence_summary	limitations	review_or_primary	fully_verified_primary_text	is_candidate_specific
USP34	USP34-02	USP34 inhibition in normal (non-transformed) mammary epithelial cells induces EMT and stemness, accompanied by INCREASED active (non-phospho) beta-catenin -- the opposite direction from USP34-01.	2	direct	False	False	False	False	USP34 knockdown (siRNA/shRNA) in NMuMG mouse mammary epithelial cells; transplantation of knockdown cells into mouse mammary fat pads in vivo	NMuMG (normal murine mammary gland epithelial line) + in vivo mammary fat pad transplantation	USP34 knockdown -> increased N-cadherin, phospho-Smad3, Snail, active-beta-catenin; decreased E-cadherin; increased mammosphere formation and Nanog/Oct4/Sox2; knockdown cells regenerated ductal structures in vivo	False	True	28499884	10.1016/j.cellsig.2017.05.009	2017	Cellular Signalling	Inhibition of ubiquitin-specific protease 34 (USP34) induces epithelial-mesenchymal transition and promotes stemness in mammary epithelial cells	'Inhibition of USP34 in NMuMG cells induced EMT, as evidenced by upregulation of N-cadherin, phospho-Smad3, Snail and active-beta-catenin' and promoted stemness; knockdown cells transplanted in vivo 'reconstituted gland tissue with ductal development.'	Non-transformed mammary epithelial line, not human, not cancer, not ER+, not tamoxifen-tested. 'Active beta-catenin' increase co-occurs with increased phospho-Smad3 (TGF-beta/Smad activation), so the beta-catenin change may reflect EMT/TGF-beta crosstalk rather than the Axin-dependent mechanism in USP34-01 -- an unresolved directional contradiction between the two most relevant primary papers, not smoothed over here.	primary	True	True
USP34	USP34-03	USP34 stabilizes eIF3m via deubiquitination; eIF3m upregulates MTCH2, maintaining mitochondrial function and TNBC proliferation.	2	direct	True	False	False	False	USP34 silencing in TNBC cell lines; eIF3m and MTCH2 overexpression rescue	human TNBC cell lines	USP34 silencing -> mitochondrial dysfunction -> decreased TNBC proliferation; USP34 described as 'abnormally overexpressed' in TNBC	True	False	42023842	10.1080/01478885.2026.2648740	2026	Journal of Histotechnology	USP34 modulates mitochondrial function in triple-negative breast cancer cells through the eIf3m/MTCH2 axis	'USP34 has been predicted to be abnormally overexpressed in TNBC... silencing USP34 inhibits cell proliferation through mitochondrial dysfunction... USP34 stabilizes eIF3m protein via deubiquitination, eIF3m promotes MTCH2 expression by binding its 5'UTR region.'	Full text not accessible (abstract only, via structured database record); mechanism entirely unrelated to Wnt/Axin/beta-catenin; TNBC is ER-negative by definition -- no bearing on tamoxifen/ER+ biology.	primary	False	True
USP34	USP34-04	USP34 physically interacts with and deubiquitinates/stabilizes SOX2, promoting laryngeal squamous cell carcinoma survival and cisplatin resistance.	3	direct	False	False	False	False	USP34 knockdown in LSCC cells and cisplatin-resistant LSCC sublines; SOX2 overexpression rescue	human laryngeal squamous cell carcinoma (LSCC) tumor tissue and cell lines	USP34 knockdown -> reduced SOX2 protein (via increased polyubiquitination) -> decreased LSCC growth; SOX2 overexpression reverses; USP34 knockdown in cisplatin-resistant cells restored cisplatin sensitivity	True	False	32783291	10.1002/kjm2.12285	2020	The Kaohsiung Journal of Medical Sciences	The deubiquitinase USP34 stabilizes SOX2 and induces cell survival and drug resistance in laryngeal squamous cell carcinoma	'USP34 and SOX2 were elevated in LSCC tumor tissues' with positive correlation; USP34 'stabilized SOX2' through reduced polyubiquitination; knockdown 'could enhance the drug sensitivity of cisplatin in the resistant cells.'	Not breast cancer, not endocrine therapy (cisplatin only); this SOX2 link is independent of, and unrelated to, the Wnt/Axin mechanism (USP34-01). Offers non-breast precedent for a USP34-SOX2 relationship, relevant context for (but not validation of) the project's own USP34->SOX2 STRING-hop hypothesis.	primary	False	True
USP34	USP34-05	USP34 deubiquitinates and stabilizes c-Myc, promoting hepatocellular carcinoma proliferation, migration, invasion, and glycolysis.	3	direct	False	False	False	False	siRNA USP34 knockdown in HCC lines; c-Myc overexpression rescue	human HCC cell lines	USP34 knockdown -> c-Myc protein decreased (ubiquitination increased, degradation accelerated) -> proliferation/migration/invasion/glycolysis all decreased; c-Myc overexpression reverses	True	False	40260316	10.5152/tjg.2025.24335	2025	The Turkish Journal of Gastroenterology	The Knockdown of USP34 Inhibits the Progression of Hepatocellular Carcinoma by Accelerating c-Myc Degradation	'Interference with USP34 resulted in increased ubiquitination levels of c-Myc'; knockdown 'did not affect the mRNA level of c-Myc, but notably decreased the protein level'; silencing 'suppressed the proliferation, migration, and invasion of HCC cells.'	Not breast/endocrine; c-Myc is a canonical Wnt target gene but no Wnt-pathway component was directly tested in this paper.	primary	True	True
USP34	USP34-06	USP34 deubiquitinates and stabilizes Smad1 and RUNX2, required for BMP2-driven osteogenic differentiation and bone formation -- independent of Wnt, demonstrating USP34's substrate breadth.	3	direct	False	False	False	False	USP34 depletion in human MSCs; conditional Usp34 knockout mice (Prx1-Cre/Osx-Cre); Smurf1 co-depletion rescue	human mesenchymal stem cells; mouse conditional knockout, in vivo bone phenotyping	USP34 depletion -> inhibited osteogenic differentiation; conditional KO mice -> low bone mass, blunted BMP2 response	False	False	30181118	10.15252/embj.201899398	2018	The EMBO Journal	Ubiquitin-specific protease USP34 controls osteogenic differentiation and bone formation by regulating BMP2 signaling	'USP34 stabilizes both Smad1 and RUNX2... depletion of Smurf1 restores the osteogenic potential of Usp34-deficient MSCs.' Conditional knockout 'leads to low bone mass in mice' and 'blunts BMP2-induced responses.'	Bone biology, not cancer; demonstrates USP34 is a pleiotropic, context-dependent DUB with multiple validated substrates beyond Axin, not a Wnt-dedicated enzyme.	primary	True	True
USP34	USP34-07	An unbiased DUB siRNA screen identified USP34 (alongside CYLD) as a regulator of thrombin-induced GPCR-p38 MAPK inflammatory signaling in endothelial cells.	4	direct	False	False	False	False	siRNA screen of 96 deubiquitinating enzymes; USP34 knockdown individually validated	human endothelial cells, thrombin (PAR1 GPCR agonist) stimulation	USP34 knockdown -> decreased thrombin-induced IL-6/inflammatory cytokine production, no effect on barrier permeability	False	False	37865315	10.1016/j.jbc.2023.105370	2023	Journal of Biological Chemistry	An siRNA library screen identifies CYLD and USP34 as deubiquitinases that regulate GPCR-p38 MAPK signaling and distinct inflammatory responses	USP34 depletion 'decreased inflammatory cytokine production without affecting barrier function.'	Endothelial biology, unrelated to cancer/Wnt/breast; further underscores USP34's pleiotropy (now 6 distinct documented pathways: Axin/Wnt, Smad1-RUNX2/BMP, eIF3m/MTCH2, c-Myc, SOX2, GPCR-p38).	primary	True	True
USP34	USP34-08-PATHWAY-CONTEXT	PATHWAY-LEVEL CONTEXT, NOT USP34-SPECIFIC: loss of CXXC4 (a Wnt/beta-catenin pathway antagonist) activates canonical Wnt/beta-catenin signaling and directly causes tamoxifen resistance in ER+ breast cancer cells.	2	direct	True	True	True	True	CXXC4 shRNA knockdown / lentiviral overexpression	MCF-7 and BT474 (ER+ breast cancer) plus tamoxifen-resistant sublines MCF-7/TMR and BT474/TMR	CXXC4 knockdown -> Wnt/beta-catenin activation (GSK-3beta phosphorylation, cyclin D1/c-Myc up) -> accelerated proliferation and tamoxifen INSENSITIVITY; CXXC4 overexpression -> increased tamoxifen sensitivity	True	False	31911277	10.1016/j.tranon.2019.12.005	2020	Translational Oncology	Downregulation of CXXC Finger Protein 4 Leads to a Tamoxifen-resistant Phenotype in Breast Cancer Cells Through Activation of the Wnt/beta-catenin Pathway	'CXXC4 knockdown accelerates cell proliferation' and 'renders breast cancer cells insensitive to tamoxifen,' via Wnt/beta-catenin activation (GSK-3beta phosphorylation, cyclin D1, c-Myc upregulation). USP34 does not appear anywhere in this paper (confirmed via direct full-text fetch).	This is CXXC4 evidence, not USP34 evidence -- cited only to establish that canonical Wnt/beta-catenin activation is an independently documented, CAUSAL driver of tamoxifen resistance in ER+ breast cancer cell lines, which is the pathway our project's own USP34 finding sits inside, not a claim about USP34 itself.	primary	True	False
EML5	EML5-01	EML5 protein/mRNA was elevated in neurons/glia of resected human epileptic temporal neocortex vs control brain tissue -- the only human-tissue EML5-specific disease-expression study found.	4	direct	False	False	False	False	none - Western blot/IHC/IF/qPCR expression comparison, no EML5 perturbation	human surgical brain tissue (36 epilepsy patients vs 8 controls)	EML5 UP in diseased (epileptic) tissue (protein OD 1.80 vs 1.19, p<0.05; mRNA >5-fold by FQ-PCR)	False	False	26730336		2015	Iranian Journal of Basic Medical Sciences	Echinoderm microtubule-associated protein-like protein 5 in anterior temporal neocortex of patients with intractable epilepsy	Western blot OD 1.8030+/-0.1335 (epilepsy) vs 1.1852+/-0.2253 (control), P<0.05; mRNA >5-fold higher in epilepsy by FQ-PCR.	Small control group (n=8); no functional perturbation; disease context is epilepsy/CNS, not cancer; only generically consistent with 'EML5 can be up in a pathological state,' not specific to resistance biology.	primary	True	True
EML5	EML5-02	Cloning/characterization of rat Eml5: WD40+HELP-domain protein homologous to sea-urchin EMAP, expressed in hippocampus/cerebellum/olfactory bulb; a microtubule-regulatory role is INFERRED by homology to other EML paralogs, not directly demonstrated for Eml5 in this paper.	4	indirect (homology-based inference for the functional claim; direct for expression pattern)	False	False	False	False	none	rat, in situ hybridization/immunocytochemistry	not applicable (developmental/tissue expression characterization)	False	False	15225882	10.1016/j.gene.2004.04.012	2004	Gene	Eml5, a novel WD40 domain protein expressed in rat brain	'Eml5 contains 11 putative WD40 domains and 3 hydrophobic stretches...HELP domains, which have been suggested to be involved in microtubule binding... it is likely that Eml5 plays a role in the regulation of cytoskeletal rearrangements' (explicitly hedged, no direct microtubule-binding assay performed on Eml5 itself).	Rat, not human; no direct microtubule co-sedimentation/binding assay on Eml5 in this paper; pre-genomic-era paper.	primary	True	True
EML5	EML5-03-ANNOTATION	UniProt (Q05BV3) FUNCTION annotation: 'May modify the assembly dynamics of microtubules' -- evidence code ECO:0000250 (inferred by sequence similarity to a characterized homolog), NOT experimentally demonstrated for human EML5 itself.	5	indirect (homology/computational inference)	False	False	False	False	none	not applicable (database annotation)	not applicable	False	False				UniProtKB/Swiss-Prot Q05BV3	(database annotation, not a paper)	'FUNCTION: May modify the assembly dynamics of microtubules...{ECO:0000250}.' 29 WD40 repeats + 3 HELP domains (Pfam PF03451), structurally consistent with the EML family but functionally uncharacterized by direct experiment on human EML5.	Curated database inference, not a cited primary experimental paper on EML5's microtubule activity -- NO SUPPORT at the experimental level.	not applicable (database)	True	True
EML5	EML5-04-INTERACTOME	STRING v12 and BioGRID/HPA show only weak, low-medium-confidence, mostly text-mining-driven computational associations for EML5 (e.g. MAD2L1, IFT140, TTC8, FBXW11) -- none independently validated by any primary paper found; none exceed STRING's high-confidence threshold.	5	indirect (computational/database aggregation)	False	False	False	False	none	not applicable	not applicable	False	False				STRING v12 / BioGRID / BioGRID ORCS / Human Protein Atlas (database queries)	(database aggregation, not a paper)	STRING API (required_score=150): MAD2L1 combined score 0.415 (experimental subscore 0.31); IFT140 0.425 (0.312); TTC8 0.52 -- all below STRING's 0.7 high-confidence threshold, dominated by text-mining. BioGRID ORCS: EML5 flagged in 8 of ~1,400 curated genome-wide CRISPR screens, but the specific screens could not be extracted (JS-rendered interface) -- unverified lead, not citable.	Raw, unfiltered, pan-genomic database aggregation; no dedicated hypothesis-driven study of EML5 exists to validate any of these associations.	not applicable (database)	True	True
EML5	EML5-05-BREAST-NULL	Human Protein Atlas: EML5 shows no clear cancer prognostic signal across 34 cohorts generally; the ONE significant association is glioblastoma (higher EML5 = BETTER survival, p<0.001); no breast-cancer-specific prognostic association is reported.	4	direct (EML5 expression itself, in the GBM cohort)	True	False	False	False	none - correlative only	TCGA pan-cancer cohorts	EML5 UP associated with BETTER survival in GBM (opposite valence to the project's finding of EML5 UP associated with resistance/recurrence in breast cancer -- different tissue context, not directly comparable)	False	False				Human Protein Atlas (database resource)	(database resource, not a paper)	HPA overall reliability score for the EML5 annotation explicitly marked 'Uncertain.' No breast-cancer prognostic/expression signal reported.	Database resource, not a peer-reviewed dedicated EML5 paper; breast cancer specifically shows NO signal in this resource, which is itself an informative negative result.	not applicable (database)	True	True
